Gene	length
5SrRNA:CR33409	135
5SrRNA:CR33410	135
5SrRNA:CR33411	135
5SrRNA:CR33412	135
5SrRNA:CR33413	135
5SrRNA:CR33414	135
5SrRNA:CR33415	135
5SrRNA:CR33417	135
5SrRNA:CR33418	135
5SrRNA:CR33419	135
5SrRNA:CR33420	135
5SrRNA:CR33421	135
5SrRNA:CR33422	135
5SrRNA:CR33423	135
5SrRNA:CR33424	135
5SrRNA:CR33425	135
5SrRNA:CR33426	135
5SrRNA:CR33427	135
5SrRNA:CR33428	135
5SrRNA:CR33429	135
5SrRNA:CR33430	135
5SrRNA:CR33431	135
5SrRNA:CR33432	135
5SrRNA:CR33433	135
5SrRNA:CR33434	135
5SrRNA:CR33435	135
5SrRNA:CR33436	135
5SrRNA:CR33437	135
5SrRNA:CR33438	135
5SrRNA:CR33439	135
5SrRNA:CR33440	135
5SrRNA:CR33441	135
5SrRNA:CR33442	135
5SrRNA:CR33443	135
5SrRNA:CR33444	135
5SrRNA:CR33445	135
5SrRNA:CR33446	135
5SrRNA:CR33447	135
5SrRNA:CR33448	135
5SrRNA:CR33449	135
5SrRNA:CR33450	135
5SrRNA:CR33451	135
5SrRNA:CR33452	135
5SrRNA-Psi:CR33356	143
5SrRNA-Psi:CR33363	144
5SrRNA-Psi:CR33371	137
5SrRNA-Psi:CR33416	143
7B2	1196
7SLRNA:CR32864	299
7SLRNA:CR42652	299
825-Oak	573
a	35867
a10	619
A16	1738
a5	833
a6	2275
Aac11	2977
AANAT1	18200
AANATL2	964
AANATL3	837
AANATL4	744
AANATL5	669
AANATL6	1013
AANATL7	2866
Aasdh	3716
Aatf	1765
aay	1529
ab	50403
ABCA	14358
ABCB7	5000
abd-A	22836
Abd-B	45025
Abi	3159
Abl	32017
abo	1851
Abp1	2748
abs	1995
ac	917
Ac13E	43402
Ac3	15378
Ac76E	38674
Ac78C	35484
Acam	1224
ACC	17748
AcCoAS	9522
Ace	36567
Acer	3808
Acf	5819
achi	3529
Achl	4441
acj6	28826
Ack	5972
Ack-like	9844
Acn	3463
Acon	4616
Acox57D-d	3035
Acox57D-p	2968
Acp1	976
Acp24A4	722
Acp26Aa	1014
Acp26Ab	565
Acp29AB	767
Acp32CD	952
Acp33A	340
Acp36DE	2980
Acp53C14a	757
Acp53C14b	646
Acp53C14c	720
Acp53Ea	533
Acp54A1	306
Acp62F	479
Acp63F	516
Acp65Aa	696
Acp76A	1270
Acp95EF	305
Acp98AB	175
Acph-1	2268
Acsl	17210
Act42A	1780
Act57B	2411
Act5C	4539
Act79B	1981
Act87E	2393
Act88F	2209
Actbeta	7466
Actn	18490
Actn3	1911
ACXA	4363
ACXB	4195
ACXC	4245
ACXD	6112
ACXE	4213
Acyp	570
Acyp2	800
Ada	1121
Ada1-1	1157
Ada1-2	1153
Ada2a	2645
Ada2b	3884
Ada3	2658
AdamTS-A	33948
Adar	14341
Adat1	3115
Adck	2204
ADD1	7036
AdenoK	2974
Adf1	5821
Adgf-A	12428
Adgf-A2	9223
Adgf-B	1756
Adgf-C	2373
Adgf-D	2319
Adgf-E	1958
Adh	3351
Adhr	3351
Adi1	1060
AdipoR	4154
Adk1	3761
Adk2	1671
Adk3	2244
AdoR	14751
adp	2357
ADPS	5159
AdSL	2341
AdSS	5914
Aduk	2651
Ady43A	2753
Aef1	5218
aft	2422
Afti	6499
Ag5r	1888
Ag5r2	1091
AGBE	3396
AgmNAT	957
ago	7964
AGO1	14703
AGO2	6930
AGO3	135048
agt	1295
Ahcy	2907
AhcyL1	3860
AhcyL2	3720
AIF	3636
AIMP1	1092
AIMP2	1710
AIMP3	878
Ak6	834
Akap200	15608
Akh	604
AkhR	4901
akirin	3869
Akt1	6443
al	9328
Aladin	2241
AlaRS	3503
AlaRS-m	3755
Alas	1986
alc	2559
Ald	7523
Aldh	4179
Aldh-III	10284
Alg1	1734
Alg10	1650
Alg11	2766
Alg14	696
Alg2	1477
Alg-2	4548
Alh	29590
alien	3562
ALiX	3645
Alk	14719
AlkB	1354
Alp1	2593
Alp2	1983
Alp4	3612
alph	25327
alpha4GT1	1833
alpha4GT2	10649
alpha-Cat	19455
alpha-Catr	3790
alphaCOP	4134
alpha-Est1	3392
alpha-Est10	7263
alpha-Est2	3421
alpha-Est3	2660
alpha-Est4	1929
alpha-Est4aPsi	1700
alpha-Est5	2895
alpha-Est6	4211
alpha-Est7	4191
alpha-Est8	6328
alpha-Est9	11178
alphaKap4	1576
alpha-Man-Ia	59167
alpha-Man-Ib	3770
alpha-Man-Ic	1686
alpha-Man-IIa	4717
alpha-Man-IIb	19871
alpha-PheRS	1699
alphaSnap	2946
alpha-Spec	16844
alphaTry	860
alphaTub67C	2103
alphaTub84B	2241
alphaTub84D	1980
alphaTub85E	2030
Alr	1854
alrm	1717
Als2	5362
alt	8784
aly	2393
Ama	2669
amd	3957
amn	3953
Amnionless	1893
amon	16463
amos	786
AMPdeam	15126
Amph	18465
AMPKalpha	3361
Amt	1975
Amun	5446
amx	1422
Amy-d	1606
Amy-p	1668
Amyrel	1605
ana	15260
ana1	5820
ana2	1483
ana3	6343
Ance	3568
Ance-2	2387
Ance-3	41464
Ance-4	2415
Ance-5	2396
Andorra	947
angel	1230
Ank	14776
Ank2	63007
Ankle2	7376
anne	10904
Anp	435
Ant2	7954
antdh	1029
Antp	102976
antr	1157
AnxB10	2070
AnxB11	5308
AnxB9	5677
aop	22271
aos	13265
Aos1	1290
AOX1	5156
AOX2	4702
AOX3	5441
AOX4	4206
ap	21324
AP-1-2beta	3578
AP-1gamma	9054
AP-1mu	1814
AP-1sigma	3905
AP-2alpha	6748
AP-2mu	2149
AP-2sigma	867
Apc	12448
APC10	926
Apc2	4299
APC4	2937
APC7	2612
ApepP	2190
Apf	613
aph-1	1049
aPKC	18512
Aplip1	3023
apolpp	16305
Apoltp	21848
app	60604
APP-BP1	2167
Appl	48544
Aprt	1225
Aps	4348
apt	34636
AQP	2092
aqrs	1236
ara	15347
aralar1	10233
Arc1	2371
Arc2	902
Arc42	1573
Archease	1787
Arf102F	1159
Arf51F	2990
Arf79F	3852
ArfGAP1	2555
ArfGAP3	3265
Arfip	2585
Arfrp1	1286
arg	18594
Argk	17247
ArgRS	2377
ArgRS-m	3106
ari-1	7393
ari-2	4430
Arl1	1228
Arl2	773
Arl4	2042
Arl5	1339
Arl6	880
Arl6IP1	1567
arm	9246
armi	4987
Arp1	2490
Arp10	1646
Arp2	5679
Arp3	2496
Arp5	2378
Arp53D	1431
Arp6	1347
Arp8	2422
Arpc1	1801
Arpc2	5971
Arpc3A	1374
Arpc3B	1282
Arpc4	780
Arpc5	1132
arr	29590
Arr1	3039
Arr2	1676
Ars2	4798
Art1	1746
Art2	3629
Art3	1804
Art4	3245
Art6	1159
Art7	2351
Art8	1266
Art9	1223
aru	6506
Arv1	1116
arx	960
ARY	1619
Asap	8716
Asator	19586
Asciz	2465
ase	2430
asf1	1505
ash1	7983
ash2	3252
Ask1	6312
asl	3308
AsnRS	2486
AsnRS-m	1606
AsnS	1856
asp	6665
Asph	6666
ASPP	33295
AspRS	6165
AspRS-m	5016
asrij	1181
asRNA:ASTR	2012
asRNA:CR11538	2386
asRNA:CR17025	10596
asRNA:CR30267	2831
asRNA:CR31144	616
asRNA:CR31429	1962
asRNA:CR31514	3175
asRNA:CR31845	930
asRNA:CR31912	1786
asRNA:CR32224	936
asRNA:CR32252	1031
asRNA:CR33945	1451
asRNA:CR42254	1697
asRNA:CR42547	2620
asRNA:CR42738	809
asRNA:CR42742	1176
asRNA:CR42743	2582
asRNA:CR42860	1461
asRNA:CR42871	2306
asRNA:CR43152	791
asRNA:CR43159	1237
asRNA:CR43160	1636
asRNA:CR43243	791
asRNA:CR43257	1966
asRNA:CR43259	3921
asRNA:CR43299	3419
asRNA:CR43413	800
asRNA:CR43425	3603
asRNA:CR43426	4324
asRNA:CR43429	2365
asRNA:CR43430	1567
asRNA:CR43433	680
asRNA:CR43454	1332
asRNA:CR43460	2943
asRNA:CR43463	2019
asRNA:CR43464	3878
asRNA:CR43465	1167
asRNA:CR43466	688
asRNA:CR43467	2813
asRNA:CR43468	2117
asRNA:CR43469	2332
asRNA:CR43470	1959
asRNA:CR43471	668
asRNA:CR43472	807
asRNA:CR43474	1097
asRNA:CR43476	1024
asRNA:CR43477	926
asRNA:CR43478	1640
asRNA:CR43480	3286
asRNA:CR43481	2960
asRNA:CR43609	2286
asRNA:CR43614	4686
asRNA:CR43615	814
asRNA:CR43629	1591
asRNA:CR43636	2738
asRNA:CR43637	1235
asRNA:CR43683	1087
asRNA:CR43723	1134
asRNA:CR43728	458
asRNA:CR43730	2548
asRNA:CR43735	766
asRNA:CR43767	780
asRNA:CR43786	871
asRNA:CR43787	2032
asRNA:CR43806	871
asRNA:CR43809	1713
asRNA:CR43812	291
asRNA:CR43820	807
asRNA:CR43824	1450
asRNA:CR43833	692
asRNA:CR43842	2006
asRNA:CR43864	1706
asRNA:CR43865	1903
asRNA:CR43866	2167
asRNA:CR43868	1821
asRNA:CR43872	2886
asRNA:CR43875	2150
asRNA:CR43876	603
asRNA:CR43877	570
asRNA:CR43889	839
asRNA:CR43891	449
asRNA:CR43898	1552
asRNA:CR43903	683
asRNA:CR43906	8789
asRNA:CR43908	394
asRNA:CR43916	783
asRNA:CR43926	757
asRNA:CR43933	2438
asRNA:CR43936	459
asRNA:CR43944	1535
asRNA:CR43948	2589
asRNA:CR43957	6628
asRNA:CR43959	5176
asRNA:CR43964	1756
asRNA:CR43971	935
asRNA:CR43979	1712
asRNA:CR43981	1008
asRNA:CR44018	6495
asRNA:CR44019	1220
asRNA:CR44020	1009
asRNA:CR44021	454
asRNA:CR44027	559
asRNA:CR44029	5379
asRNA:CR44030	3018
asRNA:CR44031	1497
asRNA:CR44035	3910
asRNA:CR44045	368
asRNA:CR44046	2919
asRNA:CR44047	1118
asRNA:CR44049	1899
asRNA:CR44052	786
asRNA:CR44053	3184
asRNA:CR44054	1631
asRNA:CR44062	2656
asRNA:CR44063	858
asRNA:CR44064	3375
asRNA:CR44065	1082
asRNA:CR44067	4277
asRNA:CR44069	5154
asRNA:CR44071	351
asRNA:CR44083	1612
asRNA:CR44087	1259
asRNA:CR44093	1094
asRNA:CR44095	910
asRNA:CR44106	1230
asRNA:CR44107	436
asRNA:CR44108	287
asRNA:CR44114	852
asRNA:CR44115	676
asRNA:CR44116	2541
asRNA:CR44119	3742
asRNA:CR44124	447
asRNA:CR44130	569
asRNA:CR44134	875
asRNA:CR44137	1377
asRNA:CR44144	677
asRNA:CR44147	492
asRNA:CR44155	1810
asRNA:CR44160	672
asRNA:CR44165	1229
asRNA:CR44168	484
asRNA:CR44169	6940
asRNA:CR44176	799
asRNA:CR44179	1978
asRNA:CR44181	3138
asRNA:CR44182	521
asRNA:CR44192	1453
asRNA:CR44201	1199
asRNA:CR44205	1167
asRNA:CR44207	1261
asRNA:CR44224	715
asRNA:CR44228	1853
asRNA:CR44235	557
asRNA:CR44237	1441
asRNA:CR44238	879
asRNA:CR44266	904
asRNA:CR44267	691
asRNA:CR44275	1501
asRNA:CR44287	919
asRNA:CR44291	971
asRNA:CR44293	401
asRNA:CR44297	353
asRNA:CR44304	722
asRNA:CR44321	614
asRNA:CR44340	613
asRNA:CR44351	1504
asRNA:CR44358	482
asRNA:CR44367	1236
asRNA:CR44368	2074
asRNA:CR44370	5728
asRNA:CR44372	2834
asRNA:CR44374	648
asRNA:CR44375	1374
asRNA:CR44381	652
asRNA:CR44382	480
asRNA:CR44386	616
asRNA:CR44390	3342
asRNA:CR44416	281
asRNA:CR44427	393
asRNA:CR44429	906
asRNA:CR44431	475
asRNA:CR44509	755
asRNA:CR44512	729
asRNA:CR44592	765
asRNA:CR44599	582
asRNA:CR44600	974
asRNA:CR44653	451
asRNA:CR44690	5000
asRNA:CR44703	1186
asRNA:CR44704	1147
asRNA:CR44724	1001
asRNA:CR44793	1206
asRNA:CR44806	402
asRNA:CR44807	2587
asRNA:CR44818	749
asRNA:CR44840	472
asRNA:CR44841	1524
asRNA:CR44843	954
asRNA:CR44847	711
asRNA:CR44849	931
asRNA:CR44850	730
asRNA:CR44866	324
asRNA:CR44872	985
asRNA:CR44873	734
asRNA:CR44891	778
asRNA:CR44892	1360
asRNA:CR44894	94235
asRNA:CR44896	478
asRNA:CR44897	1586
asRNA:CR44907	526
asRNA:CR44910	401
asRNA:CR44911	1320
asRNA:CR44958	1501
asRNA:CR44959	771
asRNA:CR44960	1138
asRNA:CR44961	2912
asRNA:CR44962	982
asRNA:CR44968	684
asRNA:CR44969	1195
asRNA:CR44972	720
asRNA:CR44975	418
asRNA:CR44976	793
asRNA:CR44981	1427
asRNA:CR44982	628
asRNA:CR44984	1674
asRNA:CR44987	2798
asRNA:CR44989	527
asRNA:CR44990	2357
asRNA:CR44992	1976
asRNA:CR44995	3293
asRNA:CR44996	1697
asRNA:CR44998	1494
asRNA:CR45000	296
asRNA:CR45001	350
asRNA:CR45007	1602
asRNA:CR45008	310
asRNA:CR45009	1781
asRNA:CR45015	1608
asRNA:CR45016	650
asRNA:CR45024	779
asRNA:CR45026	762
asRNA:CR45028	911
asRNA:CR45041	1122
asRNA:CR45042	721
asRNA:CR45044	3071
asRNA:CR45046	5430
asRNA:CR45053	1042
asRNA:CR45056	779
asRNA:CR45104	1580
asRNA:CR45108	2252
asRNA:CR45121	608
asRNA:CR45124	601
asRNA:CR45126	1646
asRNA:CR45129	9300
asRNA:CR45130	1265
asRNA:CR45131	3725
asRNA:CR45132	750
asRNA:CR45133	1629
asRNA:CR45134	753
asRNA:CR45135	401
asRNA:CR45136	950
asRNA:CR45137	15649
asRNA:CR45139	6329
asRNA:CR45140	2175
asRNA:CR45141	1809
asRNA:CR45142	2246
asRNA:CR45143	405
asRNA:CR45144	1288
asRNA:CR45145	3104
asRNA:CR45146	1265
asRNA:CR45149	752
asRNA:CR45151	1757
asRNA:CR45152	668
asRNA:CR45160	683
asRNA:CR45161	1034
asRNA:CR45162	542
asRNA:CR45163	727
asRNA:CR45164	1139
asRNA:CR45167	1168
asRNA:CR45171	1098
asRNA:CR45175	929
asRNA:CR45182	682
asRNA:CR45185	3248
asRNA:CR45189	2468
asRNA:CR45190	2133
asRNA:CR45192	701
asRNA:CR45195	950
asRNA:CR45198	420
asRNA:CR45202	456
asRNA:CR45205	1313
asRNA:CR45206	640
asRNA:CR45208	952
asRNA:CR45209	1705
asRNA:CR45210	856
asRNA:CR45213	1264
asRNA:CR45214	3195
asRNA:CR45257	249
asRNA:CR45260	4902
asRNA:CR45264	732
asRNA:CR45268	862
asRNA:CR45271	1311
asRNA:CR45272	3542
asRNA:CR45275	552
asRNA:CR45281	5936
asRNA:CR45300	342
asRNA:CR45305	223
asRNA:CR45326	771
asRNA:CR45330	2918
asRNA:CR45341	328
asRNA:CR45342	292
asRNA:CR45343	904
asRNA:CR45350	1680
asRNA:CR45366	846
asRNA:CR45367	1229
asRNA:CR45371	1696
asRNA:CR45376	1538
asRNA:CR45384	1024
asRNA:CR45396	670
asRNA:CR45397	370
asRNA:CR45445	796
asRNA:CR45466	788
asRNA:CR45467	1210
asRNA:CR45468	1157
asRNA:CR45469	595
asRNA:CR45479	2376
asRNA:CR45481	3122
asRNA:CR45485	1656
asRNA:CR45501	552
asRNA:CR45518	508
asRNA:CR45520	2492
asRNA:CR45525	1321
asRNA:CR45528	1219
asRNA:CR45535	1510
asRNA:CR45538	347
asRNA:CR45549	735
asRNA:CR45600	3137
asRNA:CR45601	875
asRNA:CR45604	5913
asRNA:CR45611	783
asRNA:CR45612	961
asRNA:CR45620	1625
asRNA:CR45621	3673
asRNA:CR45623	380
asRNA:CR45629	1677
asRNA:CR45648	331
asRNA:CR45663	323
asRNA:CR45682	1766
asRNA:CR45683	4516
asRNA:CR45686	890
asRNA:CR45701	303
asRNA:CR45712	822
asRNA:CR45713	1291
asRNA:CR45714	1061
asRNA:CR45715	687
asRNA:CR45738	437
asRNA:CR45778	974
asRNA:CR45789	568
asRNA:CR45797	436
asRNA:CR45798	1540
asRNA:CR45800	732
asRNA:CR45801	743
asRNA:CR45802	1070
asRNA:CR45804	885
asRNA:CR45806	967
asRNA:CR45807	1516
asRNA:CR45812	621
asRNA:CR45813	453
asRNA:CR45814	706
asRNA:CR45815	1072
asRNA:CR45818	419
asRNA:CR45822	882
asRNA:CR45827	1143
asRNA:CR45828	488
asRNA:CR45829	839
asRNA:CR45830	926
asRNA:CR45831	1384
asRNA:CR45832	523
asRNA:CR45834	406
asRNA:CR45835	1960
asRNA:CR45865	328
asRNA:CR45867	408
asRNA:CR45868	593
asRNA:CR45869	416
asRNA:CR45870	970
asRNA:CR45871	2245
asRNA:CR45872	467
asRNA:CR45873	958
asRNA:CR45874	873
asRNA:CR45875	1294
asRNA:CR45882	667
asRNA:CR45885	1047
asRNA:CR45886	513
asRNA:CR45889	574
asRNA:CR45890	988
asRNA:CR45891	642
asRNA:CR45892	1151
asRNA:CR45894	419
asRNA:CR45895	695
asRNA:CR45896	2413
asRNA:CR45907	481
asRNA:CR45908	712
asRNA:CR45909	3708
asRNA:CR45912	7418
asRNA:CR45924	794
asRNA:CR45925	350
asRNA:CR45926	1367
asRNA:CR45927	414
asRNA:CR45928	1171
asRNA:CR45929	395
asRNA:CR45943	388
asRNA:CR45944	495
asRNA:CR45951	1520
asRNA:CR45952	1715
asRNA:CR45955	672
asRNA:CR45960	1634
asRNA:CR45968	1344
asRNA:CR45969	295
asRNA:CR45970	1141
asRNA:CR45974	749
asRNA:CR45995	1604
asRNA:CR45999	2000
asRNA:CR46012	592
asRNA:CR46018	553
asRNA:CR46020	707
asRNA:CR46029	7622
asRNA:CR46033	1011
asRNA:CR46034	518
asRNA:CR46038	1991
asRNA:CR46044	547
asRNA:CR46045	882
asRNA:CR46047	912
asRNA:CR46048	472
asRNA:CR46049	641
asRNA:CR46050	409
asRNA:CR46054	606
asRNA:CR46055	618
asRNA:CR46058	726
asRNA:CR46065	537
asRNA:CR46066	1003
asRNA:CR46067	1205
asRNA:CR46068	502
asRNA:CR46069	1641
asRNA:CR46070	734
asRNA:CR46071	925
asRNA:CR46074	401
asRNA:CR46081	617
asRNA:CR46082	2574
asRNA:CR46089	5069
asRNA:CR46091	838
asRNA:CR46092	1084
asRNA:CR46093	967
asRNA:CR46096	1373
asRNA:CR46097	929
asRNA:CR46099	455
asRNA:CR46101	882
asRNA:CR46104	741
asRNA:CR46105	389
asRNA:CR46107	1361
asRNA:CR46109	875
asRNA:CR46128	3438
asRNA:CR46129	408
asRNA:CR46133	700
asRNA:CR46134	2132
asRNA:CR46135	3029
asRNA:CR46136	1102
asRNA:CR46137	409
asRNA:CR46138	1478
asRNA:CR46139	1144
asRNA:CR46140	926
asRNA:CR46144	1043
asRNA:CR46145	848
asRNA:CR46195	771
asRNA:CR46246	1205
asRNA:CR46251	1859
asRNA:CR46255	680
asRNA:CR46256	1139
asRNA:CR46261	620
asRNA:CR46262	449
asRNA:CR46263	1910
asRNA:CR46264	682
asRNA:CR46266	1588
asRNA:CR46269	1712
asRNA:CR46354	6436
asRNA:Eig63F-2	1275
asRNA:TS15	1122
Ass	2173
ast	2856
AstA	4542
AstA-R1	92189
AstA-R2	7674
AstC	5235
AstCC	1771
AstC-R1	16069
AstC-R2	17421
asun	2621
Asx	8536
Atac1	1230
Atac2	2674
Atac3	3008
ATbp	2329
Ate1	2425
Atet	11864
Atf-2	1402
Atf3	32545
Atf6	10024
Atg1	20688
Atg10	3348
Atg101	1850
Atg12	593
Atg13	3003
Atg14	2000
Atg16	7821
Atg17	10218
Atg18a	4262
Atg18b	8251
Atg2	6340
Atg3	1797
Atg4a	4470
Atg4b	3205
Atg5	9149
Atg6	1603
Atg7	4579
Atg8a	3461
Atg8b	654
Atg9	2833
atilla	2436
atk	10173
atl	9044
atms	27456
ato	1223
Atox1	1605
ATP6AP2	1953
ATP7	9733
ATP8B	22238
Atpalpha	27526
ATPCL	7760
ATPsynB	1226
ATPsynbeta	3434
ATPsynbetaL	2255
ATPsynC	3486
ATPsynCF6	845
ATPsynCF6L	690
ATPsynD	1272
ATPsyndelta	4424
ATPsynE	789
ATPsynepsilonL	548
ATPsynF	734
ATPsynG	878
ATPsyngamma	1460
ATPsynGL	600
ATPsynO	1100
AttA	854
AttB	943
AttC	963
AttD	819
att-ORFB	1766
Atu	2582
Atx-1	1000
Atx2	8855
Atxn7	4666
aub	3658
aurA	1703
aurB	1298
aust	995
aux	15736
ave	749
Aven	1271
awd	906
Awh	15487
axed	9789
Axn	12470
axo	57714
Axs	3807
Axud1	4793
az2	2128
azot	627
b	2732
B4	48705
B52	5581
b6	3564
B9d1	999
B9d2	2780
bab1	64721
bab2	36848
babo	10458
babos	8184
Bacc	5531
Bace	1415
baf	1104
bai	1070
Balat	2226
Baldspot	13174
ball	2203
bam	2019
ban	81
bap	1570
Bap111	2668
Bap170	5847
Bap55	1611
Bap60	2064
barc	12747
bark	15560
barr	3208
baz	40723
bb8	1973
bbc	8229
bbg	123449
BBS1	2214
BBS4	3393
BBS8	2449
bbx	10118
bc10	1535
BCAS2	1074
bcd	3625
bchs	15608
BCL7-like	1961
bcn92	1185
Bdbt	1000
bdg	8896
bdl	7277
Bdp1	2464
be	17625
BEAF-32	2162
beag	1947
beat-Ia	31720
beat-Ib	57302
beat-Ic	41413
beat-IIa	46116
beat-IIb	32797
beat-IIIa	42095
beat-IIIb	20894
beat-IIIc	73098
beat-IV	22666
beat-Va	7860
beat-Vb	18758
beat-Vc	37157
beat-VI	56607
beat-VII	36685
beg	1198
bel	5787
Bem46	1960
ben	3461
Best1	9024
Best2	10733
Best3	1871
Best4	1985
Bet1	1044
Bet3	3786
Bet5	1255
beta3GalTII	1431
beta4GalNAcTA	2121
beta4GalNAcTB	1349
beta4GalT7	1227
betaCOP	3694
beta'COP	3481
betaggt-I	2746
betaggt-II	1597
betaGlu	2556
beta-Man	7367
betaNACtes1	1138
betaNACtes2	961
betaNACtes3	1021
betaNACtes4	1066
betaNACtes5	610
betaNACtes6	1021
beta-PheRS	2220
beta-Spec	12000
betaTry	1071
betaTub56D	4282
betaTub60D	7219
betaTub85D	1900
betaTub97EF	21377
bft	94
BG642163	1577
BG642167	517
BG642312	913
Bgb	1242
bgcn	5652
bgm	6325
B-H1	5801
B-H2	9595
BHD	1704
bi	72792
BI-1	1797
bib	10894
bic	1546
BicC	6711
BicD	13611
bif	15771
BigH1	1373
bigmax	1161
Bili	5404
bin	3826
Bin1	3409
bin3	26035
bip1	4381
bip2	6942
Bka	818
blanks	1436
Blimp-1	21112
Blm	4974
Blos1	733
Blos2	645
Blos3	674
Blos4	1104
blot	25484
blow	6592
blp	1094
blw	3082
bma	59179
Bmcp	7185
bmm	9917
bnb	3442
bnk	1028
bnl	42745
BobA	627
boca	866
bocks	1535
BOD1	4534
boi	25877
boil	1594
bol	36777
boly	1139
bon	19402
bond	5815
bonsai	1099
bor	2761
bora	2060
borr	1647
boss	4955
botv	4118
bou	703
bowl	12422
BoYb	3559
br	89738
Br140	5827
brat	45943
Brca2	3410
Brd	532
Brd8	2792
Bre1	4362
Brf	16505
brk	3194
brm	12788
Brms1	1637
brn	1450
Bro	744
brp	37801
bru1	138435
bru2	53310
bru3	281494
Bruce	19315
brun	5424
brv1	2673
brv2	2647
brv3	2507
BRWD3	9620
bs	33613
bsf	5071
Bsg	33112
Bsg25A	1410
Bsg25D	6821
bsh	3292
bsk	3000
bt	52075
BTBD9	3618
BtbVII	9763
btd	3373
BthD	1098
Btk29A	42707
btl	7458
btn	477
Btnd	2060
btsz	71397
btv	19848
btz	3085
Bub1	4419
Bub3	1415
BubR1	5287
Buffy	9066
bug	1114
Bug22	999
BuGZ	10300
bun	91072
bur	5502
Burs	762
bves	28429
bw	10695
bwa	7329
Bx	57382
Bx42	2735
by	4774
byn	8227
bys	1764
c11.1	7800
c12.1	1309
c12.2	5100
C15	12829
C1GalTA	7762
c(2)M	2677
c(3)G	3107
C3G	22804
C901	3103
ca	8237
Ca-alpha1D	24710
Ca-alpha1T	88399
Ca-beta	47427
CaBP1	1850
cac	53808
cact	13172
cactin	2334
cad	12405
Cad74A	11778
Cad86C	21952
Cad87A	55618
Cad88C	11299
Cad89D	10857
Cad96Ca	10713
Cad96Cb	8166
Cad99C	13043
CadN	131288
CadN2	88277
Cadps	40923
Caf1-105	2540
Caf1-180	4168
Caf1-55	1989
cag	1381
CAH1	6369
CAH2	5747
CAHbeta	1934
caix	3197
cal1	3659
CalpA	5452
CalpB	4558
CalpC	2761
Calr	2161
Cals	10484
Calx	37431
calypso	2272
Cam	19412
CaMKI	8444
CaMKII	18416
Camta	34031
can	3203
cana	8067
CanA1	7448
CanA-14F	26489
CanB	1951
CanB2	3044
Cand1	4574
CAP	38009
Capa	1356
CapaR	3208
Cap-D2	4607
Cap-D3	10054
Caper	5158
Cap-G	9679
Cap-H2	5447
