Gene	Length		a1	a2	a3	a4	a5	a6	a7	ab8	b1	b2	b3	b4	b6
CR46263	1909		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amnionless	1892		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11562	803		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
U2af38	1722		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hop	2327		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pi3K21B	7353		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003856	NA	NA
Plc21C	49631		NA	0000003857;0000000001	0000000001	0000000001	0000003858;0000000001	0000003859;0000000001	0000000655;0000000001	0000000001	0000000001	0000000001	0000000001	0000000653;0000000001	0000000654;0000000001
CR43719	811		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11912	897		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11911	969		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000000654
CG33127	990		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43755	4239		NA	NA	NA	NA	0000003858	0000003859	NA	NA	NA	NA	NA	NA	NA
CG31921	2425		NA	NA	NA	NA	NA	NA	0000000655	NA	NA	NA	NA	NA	NA
Ent1	2309		NA	NA	NA	NA	NA	0000003860	NA	NA	NA	NA	NA	NA	NA
CR45367	1228		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45366	845		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
al	9327		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43718	451		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4213	5603		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RpI135	3684		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP-2alpha	6747		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ebi	3469		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13690	1218		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RpLP1	912		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11885	555		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13692	718		NA	NA	0000003863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BBS8	2448		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ex	17474		NA	NA	0000003864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43717	565		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
crq	4770		NA	NA	NA	0000003867	0000003865	NA	NA	NA	NA	0000003866	NA	NA	NA
CG4164	1546		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43080	559		NA	NA	NA	NA	NA	NA	NA	NA	NA	0000000660	NA	NA	0000000660
CG4133	3214		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4297	13324		NA	NA	NA	NA	NA	NA	NA	0000003868	NA	NA	NA	0000003869	NA
MED15	3157		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ush	64340		NA	0000003874	NA	NA	NA	0000003871;0000003873	NA	NA	NA	0000003875	0000003872	0000003876	0000000661
cbt	3242		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46258	1814		NA	0000003874	NA	NA	NA	0000003873	NA	NA	NA	0000003875	NA	NA	NA
CR46259	1363		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000000661
lwr	1981		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spp	1867		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ets21C	7998		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nAChRbeta3	1967		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rempA	6568		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tspo	911		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG11835	3251		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2794	2309		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nle	1755		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2807	4567		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ipk2	1231		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cold	1443		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ptth	1185		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pph13	2063		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gsc	11145		NA	NA	0000017814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46148	736		NA	NA	00005876922L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13689	1617		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43648	498		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43649	794		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lectin-21Cb	903		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44797	558		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44798	423		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lectin-21Ca	939		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG2839	2548		NA	NA	NA	NA	NA	NA	0000000662	NA	0000003879	NA	NA	NA	NA
CR45369	323		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ds	74970		0000000002	0000000002	0000000002	0000000664;0000000002	0000000002	0000000002;0000003884	0000000002	0000003883;0000000664;0000000002	0000000002	0000000002	0000000002	0000000002	0000000663;0000000002
CR44988	4739		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR46260	2848		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hsp60B	2202		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eaat2	7183		NA	NA	0000000666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GABA-B-R3	12454		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44614	579		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG12506	470		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13946	405		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13947	482		NA	NA	NA	NA	NA	NA	0000003892	NA	NA	NA	NA	NA	NA
Gr21a	2403		NA	NA	NA	0000000668	NA	0000000668	NA	0000000668	0000000668	NA	0000000668	NA	NA
CG3544	4440		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pkg21D	4645		NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003893	NA	NA	NA
CR45259	467		NA	0000011198	0000011198	NA	NA	0000011198	NA	NA	NA	0000011198	0000011198	NA	0000011198
Nnf1b	954		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dbp21E2	1796		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saf6	2636		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pex12	2103		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15880	956		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3876	1429		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clp	1245		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3662	3048		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG3862	1532		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dock	7272		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
drongo	17487		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44060	461		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4291	1479		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
kraken	1771		NA	NA	NA	NA	NA	NA	0000003897	NA	NA	NA	NA	NA	NA
CG13949	1302		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45345	392		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-375	90		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG13950	1497		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aru	6505		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snoRNA:Me28S-U1230	127		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dbe	1184		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNUTS	6573		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15824	7969		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ninaA	968		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45348	597		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lsp1beta	2816		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snRNA:U1:21D	163		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45261	318		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44061	324		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GluRIIC	3719		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003902
CG4341	35305		NA	NA	0000000672	NA	0000000672;0000003905	0000017819	NA	NA	0000000674	0000003903	00009235212L	0000000673;0000017819	0000003904
CR44801	3401		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IA-2	39675		NA	NA	NA	NA	NA	NA	NA	NA	0000000678	NA	0000000677	0000003913	NA
CG4375	792		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4415	1439		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S	28141		NA	NA	NA	NA	0000003914	NA	NA	NA	NA	0000003915	NA	NA	NA
ast	2855		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atg4a	4469		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4629	19413		NA	NA	NA	NA	NA	NA	0000000679	NA	NA	NA	NA	0000011202;0000017820	0000003916
mtRNApol	5119		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14339	4154		NA	NA	NA	NA	0000000680	NA	NA	NA	NA	NA	NA	NA	NA
CG14340	1197		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pino	14299		NA	NA	NA	NA	NA	NA	NA	NA	0000003917	0000003918	0000000681	NA	NA
CG4552	3095		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Iris	1766		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4577	6463		NA	NA	0000000682	NA	NA	NA	NA	NA	NA	NA	NA	0000011203	0000000682
CR45717	347		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFS3	4194		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
l(2)10685	1627		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tfb4	1232		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vps29	998		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
capt	6584		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43767	779		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tango14	1559		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5080	3596		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IntS14	1982		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG14341	705		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plap	3193		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31922	608		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5118	2052		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4887	4580		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG4896	4764		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5126	1723		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tgt	1633		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5001	11050		NA	NA	NA	0000000684	NA	NA	0000000684	NA	NA	NA	NA	NA	0000000683
CG5139	801		NA	NA	NA	NA	NA	NA	NA	0000003919	NA	NA	NA	NA	NA
CG43348	512		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43349	458		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5011	549		NA	NA	NA	NA	NA	0000003920	NA	NA	NA	NA	NA	NA	NA
CG14342	1035		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45346	644		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR43263	931		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG42329	10509		NA	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006	0000000006
CG5397	2982		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
robo3	40179		0000003922	NA	NA	NA	0000003921	NA	0000000685	NA	NA	0000000686;00012721762L	NA	NA	NA
a5	832		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5440	1386		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33923	730		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33922	728		NA	NA	0000000693	NA	0000000693	NA	NA	NA	0000000693	0000000693	NA	0000000693	0000000693
Cdlc2	735		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45005	339		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR45006	366		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5556	1140		NA	NA	0000000695	NA	NA	0000000694	NA	NA	NA	NA	NA	NA	NA
CG5561	1139		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31924	818		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG5565	1013		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31659	865		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NLaz	1984		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003925	NA	NA
CG14346	1054		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44898	1243		NA	NA	NA	NA	NA	NA	NA	NA	0000000697	NA	NA	NA	NA
robo2	40367		0000003928	NA	NA	0000003929	NA	NA	NA	NA	0000000697	NA	NA	NA	NA
CR44897	1585		NA	NA	NA	NA	NA	NA	NA	NA	0000000697	NA	NA	NA	NA
CG43401	685		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snRNA:U3:22A	210		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG43402	1205		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31928	1564		NA	NA	NA	NA	NA	NA	0000000700	NA	0000003933	NA	NA	NA	NA
CG33128	1386		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31926	1611		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31661	1340		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG18131	2153		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG7420	2120		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44064	3374		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG18132	683		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
halo	615		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG44072	353		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Or22a	1665		NA	NA	NA	0000000703	NA	NA	NA	NA	NA	NA	NA	NA	NA
Or22b	1560		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
haf	53275		NA	0000000008	0000000008;0000000706	0000000008	0000000008;0000000706	0000000008;0000000706	0000000008	0000000008	0000003936;0000000008;0000000706	0000000008;0000003937	0000000008;0000000706	0000000008;0000000706	0000000008
CG10869	2289		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31935	16335		NA	NA	NA	NA	NA	NA	NA	NA	NA	0000003937	NA	NA	NA
CG14352	1166		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFeSP	1731		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44603	7384		NA	NA	0000000707	NA	NA	NA	NA	NA	NA	0000003939	NA	NA	NA
CR45695	231		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chinmo	53424		NA	0000000010;0000003947	0000000010	0000000010;0000003945	0000003944;0000000010	0000000010	0000000010	0000000010	0000000010	0000000010	0000003943;0000000010	0000000010;0000003946	0000000010
cpb	2060		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17660	3289		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44976	792		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mRpL48	1003		NA	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011
frtz	4549		NA	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011	0000000011
Rim2	8144		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eno	4868		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rrp40	1030		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31937	1183		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17652	1323		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17646	18088		NA	NA	NA	NA	NA	NA	NA	0000011204	NA	NA	NA	NA	NA
CG17712	1435		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17648	540		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr22f	1198		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG17650	807		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr22e	1224		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr22d	1220		NA	NA	NA	0000012342	NA	NA	NA	NA	NA	NA	0000000712	NA	NA
Gr22c	1206		NA	NA	NA	0000012342	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr22b	1211		NA	NA	0000000713	0000012342	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gr22a	1249		NA	NA	NA	0000012342	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31933	2075		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG31664	2328		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
c-cup	938		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mir-2280	114		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
wry	22012		NA	NA	0000003953	NA	NA	NA	NA	0000003952	NA	NA	NA	NA	NA
CR44073	402		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44074	738		NA	NA	NA	NA	NA	NA	NA	0000003952	NA	NA	NA	NA	NA
CG31663	22871		NA	0000000717	NA	NA	0000003954	NA	NA	NA	NA	NA	NA	NA	0000003955
CG7295	1229		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR44075	818		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15358	1177		NA	NA	NA	NA	NA	NA	NA	NA	0000003956	NA	NA	NA	NA
CG7337	59667		NA	0000000720;0000003963	0000000720;0000003964	0000000719;0000003961	0000003960	0000003958	0000000720	0000003963	0000000720;0000003962	0000003957;0000003959;0000000720	0000000721	0000000721	0000017823
tRNA:G3:22BCa	70		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15357	559		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG33673	913		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
erm	20123		NA	NA	NA	NA	NA	NA	0000000722	NA	NA	NA	NA	NA	NA
tRNA:CR31942	72		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Der-1	1456		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15356	5292		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG15362	923		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CG7289	2297		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Got2	3246		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Npc2a	650		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CR42874	1444		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Obp22a	779		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
